id,word,list_definition,verbose_definition
27,compendium,a publication containing a variety of works,"When you search an online encyclopedia, you are searching a compendium of information on just about everything. A compendium is a comprehensive collection of something."
28,diverge,move or draw apart,"When two roads diverge, they split and go in different directions. If your opinion diverges from mine, we do not agree. To diverge means to move apart or be separate."
29,gregarious,temperamentally seeking and enjoying the company of others,"If you know someone who's outgoing, sociable, and fond of the company of others, you might want to call her gregarious."
30,log,a segment of the trunk of a tree when stripped of branches,"A log is the trunk of a tree minus the branches: logging is cutting down trees. A log is also a written record of something, and logging is keeping such a record."
31,adulterate,make impure by adding a foreign or inferior substance,"If you adulterate something, you mess it up. You may not want to adulterate the beauty of freshly fallen snow by shoveling it, but how else are you going to get to work?"
32,complaisant,showing a cheerful willingness to do favors for others,"If only the world were populated entirely with complaisant people! Complaisant means willing to do something to please others, and complaisant people or animals are wonderful to be around."
33,divest,take away possessions from someone,"It could be your wine portfolio, your stake in a mining company, or even the extra coats that are taking up space in your closet. Whatever it is, when you divest something, you get rid of it."
34,guileless,innocent and free of deceit,"If you are guileless, you are not a liar; you are innocent, and you might be a touch on the gullible side."
35,loquacious,full of trivial conversation,"A loquacious person talks a lot, often about stuff that only they think is interesting. You can also call them chatty or gabby, but either way, they're loquacious."
36,aesthetic,characterized by an appreciation of beauty or good taste,The adjective aesthetic comes in handy when the subject at hand is beauty or the arts. A velvet painting of dogs playing poker might have minimal aesthetic appeal.
37,compliant,disposed to act in accordance with someone's wishes,"If you are willing to submit to someone's request, then you are compliant. Parents like it when their teenagers are compliant and follow the rules. Teenagers, on the other hand, are probably not as compliant as parents would like to think!"
38,document,a representation of a person's thinking with symbolic marks,A document is a piece of paper that contains official information. Don't you wish you had a document saying that the bank owed you $5 million?
39,gullible,naive and easily deceived or tricked,"If you are gullible, the joke is on you because you are easily fooled."
40,lucid,transparently clear; easily understandable,"Something that's lucid is clear and understandable. Lucid writing is important in journalism, so that readers easily get the point of the article they're reading."
41,aggregate,a sum total of many heterogeneous things taken together,"To aggregate is to collect many units into one. If you're writing a novel, you might create a character who is an aggregate of five or six real people."
42,conciliatory,making or willing to make concessions,"If you're in a fight with a friend and you want to end it, you should make a conciliatory gesture, such as inviting her to a party you're having. Conciliatory describes things that make other people less angry."
43,dogmatic,pertaining to a code of beliefs accepted as authoritative,"To be dogmatic is to follow a set of rules no matter what. The rules might be religious, philosophical, or made-up, but dogmatic people would never waver in their beliefs so don’t even think of trying to change their minds."
44,harangue,a loud bombastic declamation expressed with strong emotion,"A harangue is more than a speech, louder than a discussion, and nastier than a lecture. It is a verbal attack that doesn't let up, delivered as a verb or received as a noun. Either way, it's pretty unpleasant."
45,luminous,softly bright or radiant,"Luminous means full of or giving off light. During the winter holidays, with all their emphasis on light, you can see luminous displays of candles everywhere."
46,alacrity,liveliness and eagerness,"Someone with alacrity shows cheerful willingness and eager behavior, like a kid whose mother has told him he can buy anything in a candy store."
47,condone,"excuse, overlook, or make allowances for","If you condone something, you allow it, approve of it, or at least can live with it. Some teachers condone chewing gum, and some don't."
48,dormant,inactive but capable of becoming active,"That old dog was dormant for so long he was confused for a furry doormat, but a doormat is likely to stay dormant, or inactive, because it is lifeless: that old dog has some life in him yet."
49,homogeneous,all of the same or similar kind or nature,"If a group of things are homogeneous, they're all the same or similar, like a room full of identically dressed Elvis impersonators."
50,magnanimity,nobility and generosity of spirit,"Magnanimous behavior is noble, generous, or unselfish, and to exhibit magnanimity is to be this way. He showed great magnanimity in not pressing charges when I drove his car into the pond. ""Accidents happen my friend,"" he said, and patted me on the back."
51,alleviate,"provide physical relief, as from pain","Do all these words make your head ache? If so, take an aspirin to alleviate, or relieve, your pain."
52,confound,be confusing or perplexing to,"If you have an identical twin, you've probably tried dressing alike so that people confound you with, or mistake you for, one another. You've also probably learned that, unfortunately, this trick doesn’t work on your mom."
53,dupe,fool or hoax,"A dupe is a furry, ceremonial hat worn during ancient pagan rituals...or not. Dupe actually means “trick or deceive.” We’re sorry we tried to dupe you into believing the wrong definition."
54,hyperbole,extravagant exaggeration,"Praising your favorite sports team is one thing, but if you call the team the most incredible group of humans ever to walk the earth, then you're going overboard and indulging in hyperbole."
55,malingerer,someone shirking duty by feigning illness or incapacity,"Have you ever pretended to be sick or hurt to get out of taking a test or doing a chore? Then you, my dear, are a malingerer, and should be ashamed of yourself. Shape up!"
56,amalgamate,bring or combine together or with something else,"To amalgamate is to combine different things to create something new. Institutions — such as banks, schools, or hospitals — often join forces and amalgamate with one other. But other things — like musical genres — get amalgamated as well."
57,connoisseur,an expert able to appreciate a field,"A connoisseur is a person who, through study and interest, has a fine appreciation for something, like the connoisseur who can identify the clarinet player on a jazz recording by the sound of his inhalations alone."
58,ebullient,joyously unrestrained,"More than chipper, more than happy, more than delighted is ebullient — meaning bubbling over with joy and delight."
59,iconoclastic,characterized by attack on established beliefs,"The word iconoclastic is an adjective referring to a breaking of established rules or destruction of accepted beliefs. It might refer to an artist with an unorthodox style, or an iconoclastic attack, either physical or verbal, on a religious doctrine or image."
60,malleable,capable of being shaped or bent,"A malleable metal is able to be pounded or pressed into various shapes, and a malleable personality is capable of being changed or trained. It's easier to learn when you're young and malleable."
61,ambiguous,having more than one possible meaning,"Look to the adjective ambiguous when you need to describe something that's open to more than one interpretation, like the headline ""Squad helps dog bite victim."""
62,contention,the act of competing as for profit or a prize,"There is nothing ""content,"" or satisfying, about being in contention, and that's probably because the word contention means being in a competition that only one side can win."
63,eclectic,selecting what seems best of various styles or ideas,"She listens to hip-hop, Gregorian chant, and folk music from the '60s. He's been seen wearing a handmade tuxedo jacket over a thrift-store flannel shirt. They both have eclectic tastes."
64,idolatry,the worship of objects or images as gods,"Idolatry means the worship of images as if they were gods. Many religions prohibit idolatry, some even to the extent of forbidding any representational objects in houses of worship."
65,maverick,someone who exhibits independence in thought and action,"A maverick is a rebel, someone who shows a lot of independence. A maverick on a motorcycle might blaze her own trail, traveling around the country and earning money by performing in rodeos."
66,ambivalence,mixed feelings or emotions,"Someone who shows ambivalence about a person or thing has conflicting feelings. If you love your mom but find her totally embarrassing, you might feel ambivalent about having her give a presentation at your school."
67,contentious,showing an inclination to disagree,"A contentious issue is one that people are likely to argue about, and a contentious person is someone who likes to argue or fight."
68,efficacy,capacity or power to produce a desired result,"The degree to which a method or medicine brings about a specific result is its efficacy. You might not like to eat it, but you can't question the efficacy of broccoli as a health benefit."
69,immutable,not subject or susceptible to change or variation,"If you can't change it, it's immutable. There are many things in life that are immutable; these unchangeable things include death, taxes, and the laws of physics."
70,mendacious,given to lying,A mendacious person is one who tells lies habitually and intentionally. Don't get stuck at the water cooler or bus stop next to someone you consider mendacious!
71,ameliorate,make better,To ameliorate is to step in and make a bad situation better. You could try introducing a second lollipop to ameliorate a battle between two toddlers over a single lollipop.
72,contrite,feeling or expressing pain or sorrow for sins or offenses,"We are sorry to inform you that the adjective contrite means regretful, remorseful, or even guilty."
73,effrontery,audacious behavior that you have no right to,"If you rudely behave as if you have a right to something that you have no right to, you're committing effrontery. When a couple stroll into a crowded restaurant, demand the best table, and threaten the staff unless they're seated right away, that's effrontery."
74,impair,make worse or less effective,"If you make bad decisions in the morning after drinking coffee, you might conclude that caffeine tends to impair your judgment. When you impair something, you damage it or make it work poorly."
75,metamorphosis,striking change in appearance or character or circumstances,"In Kafka's novel entitled Metamorphosis, a man wakes up to find he has turned into a cockroach. That kind of complete and startling change pretty much sums up the word."
76,anachronism,locating something at a time when it couldn't have existed,"An anachronism is something that doesn't fit its time period, like if you say you'll ""dial"" your smartphone."
77,conundrum,a difficult problem,"The tricky word conundrum is used to describe a riddle or puzzle, sometimes including a play on words or pun."
78,elegy,a mournful poem; a lament for the dead,"An elegy is a sad poem, usually written to praise and express sorrow for someone who is dead. Although a speech at a funeral is a eulogy, you might later compose an elegy to someone you have loved and lost to the grave."
79,impassive,having or revealing little emotion or sensibility,"Someone who doesn't seem to react — who is always ""taking a pass"" in the conversation of life can be described as impassive."
80,meticulous,marked by precise accordance with details,"Someone who is meticulous pays extreme attention to detail. If that person is, say, your surgeon or your accountant, you'll definitely want them to be meticulous!"
81,analogous,similar or equivalent in some respects,Use the adjective analogous to describe something that is similar to something else and can be compared to another.
82,converge,be adjacent or come together,Use the verb converge to describe something that comes together at a common point: “Thousands of Elvis fans plan to converge on the small Arkansas town where unconfirmed sightings of the deceased superstar eating at a local barbeque restaurant had been widely reported.”
83,elicit,"call forth, as an emotion, feeling, or response","When you elicit, you're bringing out a response of some sort. A good comedian elicits a lot of laughs."
84,impede,be a hindrance or obstacle to,To impede something is to delay or block its progress or movement. Carrying six heavy bags will impede your progress if you're trying to walk across town in a hurry.
85,misanthrope,someone who dislikes people in general,"A misanthrope is a person who hates or mistrusts other people. Your great aunt Edna who lashes out at anyone who approaches, convinced they'll steal the jewelry she keeps in her handbag on her lap? A misanthrope indeed."
86,anarchy,a state of lawlessness and disorder,Use the noun anarchy to describe a complete lack of government — or the chaotic state of affairs created by such an absence. A substitute teacher might worry that an unruly classroom will descend into anarchy.
87,convoluted,highly complex or intricate,"If something is convoluted, it's intricate and hard to understand. You'll need to read over your brother's convoluted investment scheme a few times before deciding whether or not to go in on it."
88,embellish,"make more attractive, as by adding ornament or color","The word ""bell"" shows up in the middle of embellish, and bells are something that decorate, or embellish something, making it more attractive. If you embellish speech, though, it can get ugly if you add a lot of details that aren't true."
89,impermeable,preventing especially liquids to pass or diffuse through,"If you have a waterproof raincoat, you could say that your coat is impermeable to the rain. Something that is impermeable does not allow water or liquid to pass through it."
90,mitigate,lessen or to try to lessen the seriousness or extent of,Choose the verb mitigate when something lessens the unpleasantness of a situation. You can mitigate your parents' anger by telling them you were late to dinner because you were helping your elderly neighbor.
91,anomalous,deviating from the general or common order or type,"Something that deviates from the norm is anomalous. Something anomalous can be good, such as an exciting new direction in music or art. But that anomalously low score on your math test? Not so good."
92,craven,lacking even the rudiments of courage; abjectly fearful,"A craven man is no Superman or Spiderman, nor is he a firefighter or a soldier. A craven man is the opposite of those guys: he has not an ounce of courage."
93,empirical,derived from experiment and observation rather than theory,"If knowledge is empirical, it's based on observation rather than theory. To do an empirical study of donut shops, you'll need to visit every one you can find."
94,imperturbable,marked by extreme calm and composure,"If you're imperturbable you are not easily upset. If your goal is to be imperturbable, then you can't let things bother you or get you stressed, confused, or angry."
95,mollify,cause to be more favorably inclined,"To mollify is to calm someone down, talk them off the ledge, make amends, maybe even apologize."
96,antipathy,a feeling of intense dislike,"An antipathy is a deep-seated dislike of something or someone. Usually it's a condition that is long-term, innate, and pretty unlikely to change — like your antipathy for the Red Sox."
97,daunt,cause to lose courage,"Daunt means to frighten or scare off. The Cowardly Lion's efforts to daunt Dorothy, the Scarecrow, and the Tin Man were less than successful."
98,emulate,"strive to equal or match, especially by imitating","When you emulate someone, you imitate them, especially with the idea of matching their success."
99,impervious,not admitting of passage or capable of being affected,"An impervious surface is one that can't be penetrated. The word is often followed by ""to,"" as in ""His steely personality made him impervious to jokes about his awful haircut."""
100,morose,showing a brooding ill humor,"A morose person is sullen, gloomy, sad, glum, and depressed — not a happy camper."
101,apathy,an absence of emotion or enthusiasm,Use the noun apathy when someone isn't interested in the important things that are happening. You might feel apathy for the political process after watching candidates bicker tediously with one another.
102,decorum,propriety in manners and conduct,"Decorum is proper and polite behavior. If you let out a big belch at a fancy dinner party, you're not showing much decorum."
103,endemic,native to or confined to a certain region,"If you want to underscore just how commonly found and present something is within a particular place, try the word endemic. The saguaro cactus is endemic, or native, to the American southwest — so watch out for its sharp spines when you're hiking in Arizona!"
104,implacable,incapable of being appeased or pacified,"An implacable person just can’t be appeased. If you really offended your best friend and tried every kind of apology but she refused to speak to you again, you could describe her as implacable."
105,mundane,found in the ordinary course of events,"An ordinary, unexciting thing can be called mundane: ""Superman hid his heroic feats by posing as his mundane alter ego, Clark Kent."""
106,appease,make peace with,"Appease means to make or preserve peace with a nation, group, or person by giving in to their demands, or to relieve a problem, as in ""the cold drink appeased his thirst."""
107,default,an option that is selected automatically,"As a setting, a default is automatic.  You weren't sure why your new TV kept returning to the factory defaults until you realized you were sitting on the remote."
108,enervate,weaken mentally or morally,"To enervate is to weaken, wear down, or even bum out. A three-hour lecture on the history of socks might thrill someone, it would enervate most people. So would a too-long soak in a hot tub. With your parents."
109,implicit,suggested though not directly expressed,"Use the adjective implicit when you mean that something is understood but not clearly stated. You might think you and your boyfriend might have an implicit understanding that you are going to get married, but it's probably better to talk it through."
110,negate,make ineffective by counterbalancing the effect of,"If something neutralizes the effect of something else, then you can say the effect is negated. Hanging a disco ball from your living room ceiling negates the sleek modern effect created by the contemporary furniture."
111,apprise,inform somebody of something,"To apprise someone about something is to fill them in, to give them the scoop. If someone in your immediate family wins the mega-bucks lottery, you want to be the first one to be apprised of that event!"
112,deference,courteous regard for people's feelings,"Sure you wear ripped jeans to school every day, but you don't wear them to your grandmother's house out of deference to her. When you show deference to someone, you make a gesture of respect."
113,engender,call forth,"Engender is a fancy way of saying ""to make happen,"" like when you engender the spirit of teamwork and cooperation by encouraging others and doing your share of the group's work."
114,implode,burst inward,"When something implodes, it explodes inward — instead of outward. With extremely large buildings, it helps to implode them rather than explode them, because by falling inward they take up less space."
115,neophyte,any new participant in some activity,A neophyte is someone who's brand new at something. You're a neophyte the first time you pick up a guitar and start learning to play.
116,approbation,official acceptance or agreement,Approbation is a formal word for approval or praise. Approbation is like getting the nod in a big way. Politicians rely on the public’s approbation to get elected.
117,delineate,represented accurately or precisely,"Though you pronounce it duh-LIN-ee-ate, there is a ""line"" in the middle of delineate. This might help you remember that to delineate is to outline and define something in detail or with an actual marking of lines and boundaries."
118,enhance,increase,"Many people use the expression ""enhance your chance"" to point out ways to increase your chances of winning or earning a contest or prize. When you enhance something, you heighten it or make it better."
119,inadvertently,without knowledge or intention,"Inadvertently is an adverb that means ""without knowledge or intent,"" like when you inadvertently take someone else's coat from the coatroom because it looks just like yours."
120,obdurate,stubbornly persistent in wrongdoing,"Obdurate is a formal word meaning stubborn. If you want to major in English, but your parents are obdurate that you should go premed, they might go so far as to threaten not to pay your tuition."
121,appropriate,"suitable for a particular person, place, or situation","Something appropriate is correct and fits the situation. A sweater-vest with reindeer on it is appropriate holiday apparel, even if it's totally embarrassing."
122,denigrate,attack the good name and reputation of someone,"To denigrate is to say bad things — true or false — about a person or thing. Your reputation as a math whiz might be hurt if your jealous classmate manages to denigrate you, even though the accusations are unfounded."
123,ephemeral,"anything short-lived, as an insect that lives only for a day","Something that is fleeting or short-lived is ephemeral, like a fly that lives for one day or text messages flitting from cellphone to cellphone."
124,inchoate,only partly in existence; imperfectly formed,"Inchoate means just beginning to form. You can have an inchoate idea, like the earliest flickers of images for your masterpiece, or an inchoate feeling, like your inchoate sense of annoyance toward your sister's new talking parrot."
125,obsequious,attempting to win favor from influential people by flattery,If you disapprove of the overly submissive way someone is acting — like the teacher's pet or a celebrity's assistant — call them by the formal adjective obsequious.
126,arduous,characterized by effort to the point of exhaustion,Use the adjective arduous to describe an activity that takes a lot of effort. Writing all those college essays and filling out the applications is an arduous process!
127,deride,treat or speak of with contempt,The verb deride means to speak to someone with contempt or show a low opinion of someone or something. A bully might constantly deride other kids in his class — which might lead to many afternoons spent in the principal's office.
128,equanimity,steadiness of mind under stress,"If you take the news of your parakeet's death with equanimity, it means you take it calmly without breaking down. Equanimity refers to emotional calmness and balance in times of stress."
129,incongruity,the quality of disagreeing,Incongruity means out of place — something that doesn't fit in its location or situation. The art show patrons couldn't help but chuckle at the incongruity of a toilet sitting in the middle of an exhibition of Renaissance paintings.
130,obviate,do away with,"To obviate means to eliminate the need for something or to prevent something from happening. If you want to obviate the possibility of a roach infestation, clean your kitchen regularly."
131,artless,simple and natural; without cunning or deceit,"Yes, artless could mean lacking in art, but more often it means lacking in superficiality or deceit. An artless person could never make a living as a con artist."
132,derivative,a compound obtained from another compound,"Alert: shifting parts of speech! As a noun, a derivative is kind of financial agreement or deal. As an adjective, though, derivative describes something that borrows heavily from something else that came before it."
133,equivocate,be deliberately ambiguous or unclear,"When you are unwilling to make a decision and almost intentionally go back and forth between two choices, you are equivocating. When politicians equivocate, they are often afraid of upsetting, and thus alienating, voters with their decisions."
134,inconsequential,lacking worth or importance,"If something is considered of little worth or importance, it is inconsequential. If astronomers forecast a tremendous meteor shower, it might turn out to be no more than space junk, too inconsequential to record."
135,occlude,block passage through,"Occlude means to obstruct, as with an opening. You hear this a lot in a medical context. Heart surgeons are looking for occlusions in blood vessels — things that occlude the flow of blood."
136,ascetic,someone who practices self denial as a spiritual discipline,"Want to live an ascetic lifestyle? Then you better ditch the flat panel TV and fuzzy slippers. To be ascetic, you learn to live without; it's all about self-denial."
137,desiccate,lacking vitality or spirit; lifeless,"The verb desiccate means to dry out, dry up and dehydrate. It's helpful to desiccate weeds but certainly not crops."
138,erudite,having or showing profound knowledge,"If you call someone erudite, that means they show great learning. After you've earned your second Ph.D., you will be truly erudite."
139,incorporate,make into a whole or make part of a whole,"To incorporate is to include or integrate a part into the whole. Incorporate is a more active version of the word ""include""; if you incorporate, you are adding something to the mix."
140,officious,intrusive in a meddling or offensive manner,"Though officious sounds like official, it means being annoyingly eager to do more than is required. ""The officious lunch lady made everyone's food choices her business, and made nasty comments when students chose cookies over carrots."""
141,assiduous,marked by care and persistent effort,"If you call someone assiduous, it's a compliment. It means they're careful, methodical and very persistent. Good detectives are classically assiduous types."
142,desultory,"marked by lack of definite plan, purpose, or enthusiasm","If you lack a definite plan or purpose and flit from one thing to another, your actions are desultory. Some people call such desultory wanderings spontaneous. Others call it ""being lost."""
143,esoteric,understandable only by an enlightened inner circle,"Pssst... do you know the secret handshake? If you haven't been brought into the inner circle of those with special knowledge, esoteric things will remain a mystery to you."
144,indeterminate,not fixed or known in advance,"Indeterminate means not known or decided. When someone contracts a rare stomach parasite but has not been traveling internationally, you might say it had indeterminate origins."
145,onerous,burdensome or difficult to endure,"If one teacher gives you three hours of homework a night, that's rough. But if all of your teachers do it, that makes the task of completing your homework an onerous one, to say the least. If something is onerous, it is very difficult to deal with or do."
146,assuage,"provide physical relief, as from pain","If you assuage an unpleasant feeling, you make it go away. Assuaging your hunger by eating a bag of marshmallows may cause you other unpleasant feelings."
147,deterrent,something immaterial that interferes with action or progress,A deterrent makes you not want to do something. Let's say there's a giant pile of cookies being guarded by an angry dog — the dog is a deterrent.
148,eulogy,a formal expression of praise for someone who has died,"At every funeral, there comes a moment when someone speaks about the life of the person who died. The speaker is delivering what is known as a eulogy. A eulogy is a formal speech that praises a person who has died."
149,indigence,a state of extreme poverty or destitution,"Indigence is a synonym for extreme poverty. If you experience indigence, you have a critical need for food, money, and other resources."
150,opprobrium,a state of extreme dishonor,"If you go against or oppose what's good, you might earn opprobrium — the opposite of getting attention for something good. Bad behavior leads to opprobrium. If you throw a soft drink off the theater balcony, the opprobrium might keep you from getting dates to the movies."
151,attenuate,"become weaker, in strength, value, or magnitude",Attenuate is a verb that means to make or become weaker. The effects of aging may be attenuated by exercise — or by drinking from the fountain of youth.
152,diatribe,thunderous verbal attack,"It's pretty overwhelming when you ask your friend a seemingly innocuous question, like ""Do you like hot dogs?"" and she unleashes a diatribe about the evils of eating meat. A diatribe is an angry, critical speech."
153,euphemism,an inoffensive expression substituted for an offensive one,"Pardon me, but when a polite term is substituted for a blunt, offensive one, you should call it a euphemism."
154,indolent,disinclined to work or exertion,Indolent is an adjective meaning slow or lazy. It can take an indolent teenager hours to get out of bed on a weekend morning. Often it's noon before he finally comes shuffling down to breakfast in his pajamas.
155,oscillate,move or swing from side to side regularly,"On a hot day, you’ll be happy to have a fan that can oscillate, meaning it moves back and forth in a steady motion."
156,audacious,disposed to venture or take risks,"This adjective is very bold — if you are audacious, you are daring and unconventional!"
157,dichotomy,a classification into two opposed parts or subclasses,"A dichotomy is an idea or classification split in two. When you point out a dichotomy, you draw a clear distinction between two things."
158,exacerbate,make worse,"For a formal-sounding verb that means to make worse, try exacerbate. If you're in trouble, complaining about it will only exacerbate the problem."
159,inert,unable to move or resist motion,"Something that's unable to move or moving without much energy can be described as inert. Wind up in a body cast and you’ll find yourself not only itchy, but totally inert."
160,ostentatious,intended to attract notice and impress others,"Reach for the adjective ostentatious when you want a flashy way to say — well, ""flashy"" or ""showy."""
161,austere,of a stern or strict bearing or demeanor,The adjective austere is used to describe something or someone stern or without any decoration. You wouldn't want someone to describe you or your home as austere.
162,diffidence,lack of self-assurance,"The noun diffidence refers to a lack of self-confidence. Your diffidence might be the reason why you never say ""hi"" to the cute guy or gal in the elevator or why you never ask for a raise."
163,exculpate,pronounce not guilty of criminal charges,"To exculpate means to find someone not guilty of criminal charges. If you've been wrongly accused of robbery, you'd better hope a judge will exculpate you, unless you want to go to jail because you've heard prison food is amazing."
164,pate,liver or meat or fowl finely minced or ground and variously seasoned,"Your pate is the top of your head. But say the word with a French accent, and voila! Now it’s a savory spread made of ground meat and spices. Pâté (the food!) is sometimes served with bread or crackers."
165,ingenuous,lacking in sophistication or worldliness,"Someone who is ingenuous shows a childlike innocence, trust, and openness. One of the things kindergarten teachers value is the chance to work with kids while they're still relatively ingenuous––their open, trusting natures are a joy."
166,paragon,a perfect embodiment of a concept,"Paragon applies to someone who is a model of perfection in some quality or trait. We link paragon with other words that follow it, such as ""paragon of virtue"" or ""paragon of patience."""
167,autonomous,existing as an independent entity,"Autonomous describes things that function separately or independently. Once you move out of your parents' house and get your own job, you will be an autonomous member of the family."
168,diffuse,spread out; not concentrated in one place,"Diffuse means to spread out. Candlelight can diffuse a soft glow throughout a room. A diffuse idea is one that spreads from person to person, and a diffuse speech is scattered and unclear."
169,exigency,a pressing or urgent situation,"Think of a mix of excitement and emergency, and you have exigency, a sudden, urgent crisis. The very word conjures up danger and intrigue that demand a cool head and an immediate effort at a solution."
170,inherent,existing as an essential constituent or characteristic,Use the adjective inherent for qualities that are considered permanent or cannot be separated from an essential character.
171,partisan,a fervent and even militant proponent of something,"If something is prejudicial towards a particular point of view, you can call it partisan. You'll often hear of the partisan politics in the U.S.— since politicians seem to be completely devoted to the agendas of their own parties."
172,aver,declare or affirm solemnly and formally as true,"To aver is to state something or declare something is true. This verb has a serious tone, so you might aver something on a witness stand or you might aver that you won't back down to a challenge."
173,digression,a message that departs from the main subject,"When your essay about French cooking starts describing a childhood trip to Disneyland, it's taken a digression — it's strayed from the main topic."
174,extrapolation,an inference about the future based on known facts,"An extrapolation is kind of like an educated guess or a hypothesis. When you make an extrapolation, you take facts and observations about a present or known situation and use them to make a prediction about what might eventually happen."
175,innocuous,not injurious to physical or mental health,"Something that's innocuous isn't harmful or likely to cause injury. Public figures like mayors and governors have to expect they'll get critical or even hurtful emails and phone calls, as well as more innocuous feedback."
176,pathological,relating to the study of diseases,"If something is caused by a physical or mental disease, it is pathological. Someone with a pathological compulsion for cleanliness might scrub the floors for hours every night."
177,banal,repeated too often; overfamiliar through overuse,"If something is boring and unoriginal, it's banal. Banal things are dull as dishwater."
178,dirge,a song or hymn of mourning as a memorial to a dead person,"A dirge is a song of mourning, performed as a memorial to someone who’s died. As you might imagine, a dirge is usually quite sad. Another word with a similar meaning that you might know is “requiem.”"
179,facetious,cleverly amusing in tone,"Don’t take a facetious comment seriously because it’s supposed to be funny. Anything facetious is a joke. If you've just won a hotdog-eating contest and someone asks if you'd like to go out for burgers, they’re probably being facetious."
180,insensible,barely able to be perceived,"The adjective insensible is used to describe someone who is unconscious. If you keep your bowling ball on the top shelf of the closet and it rolls out and conks you on the head, you will be probably rendered insensible."
181,paucity,an insufficient quantity or number,"The word paucity means not enough of something. If you've got a paucity of good cheer, for example, you'd better cheer up!"
182,belie,be in contradiction with,"To belie means to contradict. If you are 93 but look like you are 53, then your young looks belie your age."
183,disabuse,free somebody from an erroneous belief,"Disabuse means to free someone of a belief that is not true. Many teachers of health find that when they teach, they spend as much energy disabusing kids of false beliefs as they do giving them the facts."
